comment;calificacion
"porque UNcode genera las calificaciones muy rapidamente e indicaba los puntos en los cuales me estaba equivocando, esto me permitio saber en que estaba fallando.";"De acuerdo"
"La plataforma da el porcentaje de casos resueltos con lo cual se puede estimar la calificacion obtenida.";"Totalmente de acuerdo"
"La capacidad de ver el % de acertados resulta practica para analizar mi codigo";"Totalmente de acuerdo"
"Me permitia ver los errores de forma automatica y mostraba la calificacion en base a la cantidad de errores cometidos.";"Totalmente de acuerdo"
"Debido a sus casos concretos, exigia bastante una precision en los codigos";"Totalmente de acuerdo"
"Bastante simple, el programa daba las calificaciones automaticas con la respuesta correcta.";"De acuerdo"
"Si, aunque a veces uno como estudiante prefiere ver el 100% en vez de ver un programa bien hecho, y realiza trampa, aunque se que es muy dificil evitar que los estudiantes realicen trampa por medio de un programa, y toca a veces de forma manual.";"De acuerdo"
"no hay razon, lo hacia bien";"De acuerdo"
"Porque es efectivamente uno de los fines de UNcode, pero ha caido bastante recientemente (502 Bad Gateway)";"De acuerdo"
"Brinda rapidamente el numero de casos correctos para obtener una calificacion";"Totalmente de acuerdo"
"Asi se da la oportunidad de ver si uno tiene un programa que cumpla con los requerimientos y en el caso que no sea asi uno puede trabajar para mejorarlo";"Totalmente de acuerdo"
"Cuando el output era un string o una tabla disenada por strings me complicaba el hecho de que aunque la respuesta estuviera bien, la maquina lo interpretaba diferente por ej: un '3' de un 3 o un espacio de un  \t hacian que la calificacion fuera 0%";"Algo en desacuerdo"
"tiene muchos problemas, ya que si el coodigo acaba en un salto de linea o hay caracteres invisibles, no lo cuenta";"Algo en desacuerdo"
"Ahorraba bastante tiempo ya que no debia esperar a que el docente revisara el codigo de cada estudiante, y podia intentarlo varias veces con el fin de mejorar el codigo poco a poco";"De acuerdo"
"Esto debido a que apenas terminaramos el codigo, con el  Sumbit  podiamos ver en que casos no funcionaba, y con las herramientas lograbamos ver en que partes del codigo se encontraba el problema que se debia arreglar";"Totalmente de acuerdo"
"la calificacion automatica es rapida y efectiva, el hecho de que la herramienta provea alimentacion la hace aun mas util";"Totalmente de acuerdo"
"Porque presentaba casi instantaneamente las respuestas del taller despues de subir el codigo";"Totalmente de acuerdo"
"Porque nos sirve para corregir y aprender";"De acuerdo"
"Era rapido y practico";"De acuerdo"
"Permite ver errores y corregirlos Dada una base de casos de prueba y eso hace que se puedan plantear mejor los algoritmos";"De acuerdo"
"Podia verificar el resultado de mis talleres constantemente";"Totalmente de acuerdo"
"El programa funciona muy bien, la verdad estoy en primer semestre y siento que esta plataforma ayudo considerablemente a los profesores para que estos ya no tuvieran que visualizar codigo por codigo, estudiante por estudiante. El metodo no parecio en nada inadecuado, impreciso, tal vez hubo algunas actividades especificas con las que el profesor nos recomendaba anadir algo para que la plataforma lo tomara como correcto pero nada grave.";"De acuerdo"
"Mide la capacidad de resolver problemas del que hace los ejercicios";"De acuerdo"
"La nota aparecia cuando se terminaba el programa.";"De acuerdo"
"Era al instante la calificacion";"Totalmente de acuerdo"
"porque de pendiendo del porcentaje de eficiencia se otorgaba una nota automaticamente sin necesidad de esperar que el maestro revisara uno por uno";"Totalmente de acuerdo"
"La plataforma usa un algoritmo bien disenado para confirmar que el codigo haga lo requerido, mi unico (y es bastante pequeno) inconveniente con la plataforma es que es exageradamente estricta a la hora de marcar los print (por ejemplo, si la salida espera  Correcto  y en el codigo sale  correcto  esa mayuscula invalida el resultado) de resto, muy buena";"De acuerdo"
"Porque habia una barra que indicaba el porcentaje obtenido del ejercicio";"Totalmente de acuerdo"
"siempre que envie un codigo en cuestion de 30 segundos la plataforma me arrojaba el resultado";"Totalmente de acuerdo"
"Me daba la calificacion inmediatamente.";"Totalmente de acuerdo"
"UNCode califica y detecta errores de forma rapida y efectiva.";"Totalmente de acuerdo"
"Reconocia de manera inmediata los errores que habian en el codigo realizado.";"Totalmente de acuerdo"
"Se pueden ver las formas de evaluacion";"Totalmente de acuerdo"
"si da el porcentaje automatico";"De acuerdo"
"Al enviar el codigo, devolvia casi inmediatamente la nota";"Totalmente de acuerdo"
"Daba el porcentaje adecuado";"De acuerdo"
"por que nos generaba la nota inmediatamente y sabiamos si debiamos mejorar el codigo o no";"Totalmente de acuerdo"
"Arroja la nota inmediatamente";"Algo de acuerdo"
"La mayoria de las veces la plataforma reconocia como incorrectas salidas que eran exactamente las requeridas";"En desacuerdo"
"pues debido a como uno desarrollaba los ejercicios, asi mismo calificaba";"De acuerdo"
"la respuesta con la calificacion es inmediata, lo cual a uno le indica si va bien o mal";"De acuerdo"
"La respuesta era inmediata";"Totalmente de acuerdo"
"cuando uno presente el codigo que piden dice el porcentaje que vale sea la nota";"De acuerdo"
"Solo un poco desacuerdo con algunos ejercicios mal planteados que a pesar de que uno hallaba el codigo daba 0% por espacios vacios  que salian de la nada en los test de verificacion";"De acuerdo"
"Bastante facil y simple de entender, mas alla de 1 o 2 problemas en el semestre no paso nada importante.";"De acuerdo"
"Mantiene un registro de las entregas";"Algo de acuerdo"
"En otros editores de codigo la funcionalidad del programa que desarrollo junto a los resultados estan correctamente bien elaborados, pero al pasarlos a uncode avienta directamente una calificacion regular o directamente del 0%";"En desacuerdo"
"Si ya que UNcode permite ingresar la entrada del codigo de una manera mas rapida que plataformas como Colab lo cual facilitaba probar los ejercicios, aunque en ocasiones emitia mensajes de error al mismo tiempo que la respuesta...";"De acuerdo"
"Aunque si, es claro que califica el trabajo hecho, es una plataforma que mas que calificar el trabajo busca que la respuesta sea identica a la establecida, lo que hace que aunque un programa haga exactamente lo que se le pide, si tiene un caracter de mas, un espacio, etc. Va a valorar el programa como si estuviera incorrecto, lo cual es totalmente frustrante a la hora de programas pues muchas veces uno piensa que el programa esta bien programado, envia una respuesta identica o por lo menos para la percepcion de uno como estudiante pues hace exactamente lo que se le pide y uncode envia error, entonces hace que uno se pregunte:  entonces cual es el el error?, dejandolo a uno con mucha frustracion";"Algo en desacuerdo"
"Lo bueno del programa es que de una vez arroja el porcentaje de aceptacion de los codigos.";"De acuerdo"
"Se valida la respuesta del punto anterior.";"Algo en desacuerdo"
"El hecho de que diese las respuestas al instante ahorra tiempo, sin embargo a veces el resultado podria ser incorrecto, una vez tuve que informarle al profesor de un punto que no sabia porque me daba mal, lo modifico porque mi respuesta en efecto era valida.";"De acuerdo"
"Porque muchas veces califico mal sobre respuestas correctas, siendo el problema principal los espacios y a veces en los test presentaba problemas.";"En desacuerdo"
"Me gusta que inmediatamente deja ver los errores en el programa, o el porcentaje de avance del programa";"De acuerdo"
"Si bien si fue util para obtener de manera rapida la calificacion de los codigos, se tornaba demasiado estricto a la hora de recibir los codigos, obligando al usuario a encontrar la forma mas optima de escribir el codigo";"Algo de acuerdo"
"Porque uno probaba los codigos y segun las pruebas a las que lo sometia uno sabia si estaba bien o si habia planteado el problema de forma diferente. Ademas de esto permite saber las notas que uno va acumulando de manera inmediata.";"Totalmente de acuerdo"
"Si fue totalmente util la plataforma";"De acuerdo"
"Bastante rapida la respuesta de la calificacion";"Totalmente de acuerdo"
"La califacion era instantanea";"De acuerdo"
"En algunos casos, este metodo da como errores a algunas diferencia en la escritura del codigo de salida, lo cual no es relevante y puede llegar a confusiones con un error relevante en el contexto del ejercicio";"Algo en desacuerdo"
"La calificacion la da al instante.";"De acuerdo"
"Calificaba al instante";"De acuerdo"
"Ya que aporto una calificacion correcta en todos los trabajos enviados.";"Totalmente de acuerdo"
"Realmente no me he dado cuenta de ello";"Algo de acuerdo"
"Ya que me ayudo a comprender varias de las tematicas vistas en clase.";"De acuerdo"
"Si, porque asi sabia que tenia mal y las pruebas lo demostraban.";"Totalmente de acuerdo"
"";"Totalmente de acuerdo"
"Se nos brindaba una calificacion segun aciertos";"De acuerdo"
"Pues calificada rapidamente y asi sabe en que esta fallando";"Totalmente de acuerdo"
"porque brindaba un tipo de calificacion que nosotros podiamos analizar y revisar si no nos daba el 100% el programa";"De acuerdo"
"La plataforma daba la calificacion de una manera exacta";"Totalmente de acuerdo"
"si, puesto que simplemente es colocar el codigo, el lo prueba con las distintas entradas y si la salida coincide con la que deberia salir pues es correcto el codigo";"Totalmente de acuerdo"
"Porque cuando el codigo se verifica de una vez arroja el resultado en porcentaje, lo cual al hacer calculos se puede saber cual es la calificacion";"Totalmente de acuerdo"
"Si, la plataforma valora si el programa esta bien elaborado, si las salidas que estan en el codigo son las que corresponden";"De acuerdo"
"La respuesta es inmediata y sirve para mejorar los resultados";"Totalmente de acuerdo"
"La plataforma de acuerdo a lo bien hecho que se encuentre el codigo le asigna una nota razonable, tambien muestra los fallos y aciertos en donde justifica la calificacion";"De acuerdo"
"Los casos de prueba eran muy variados, y calificaban muy bien cada parte de los programas realizados";"Totalmente de acuerdo"
"es util tener los porcentajes pero de nada sirve que uno tenga solo un visto bueno y no pueda revisar estos casos de prueba, ademas que siento que es necesario que una vez que uno complete con exito los casos se libere el codigo fuente para una mayor comprension caso adicional cuando el plazo se termina y algun estudiante no logro completar estos ejercicios, esto como un metodo adicional para el entendimiento del codigo y el proceso del mismo";"Totalmente en desacuerdo"
"Al mostrar una cantidad de ejercicios de prueba y evaluar el codigo en ellos se muestra una calificacion adecuada";"Totalmente de acuerdo"
"Porque al momento de realizar el envio, me muestra si aprobe o no, y si no lo hice, me muestra en que tuve error y como es la manera correcta del output";"Totalmente de acuerdo"
"Si, podia obtener mi calificacion de forma inmediata";"Totalmente de acuerdo"
"Permitia conocer los errores lo cual justificaba de manera firme las notas, y no se presentaba arbitrariedad";"De acuerdo"
"Al dar los resultados de forma casi instantanea";"De acuerdo"
"Si, me daba al instante el puntaje";"Totalmente de acuerdo"
"Porque hace la verificacion automatica de los casos de prueba";"Totalmente de acuerdo"
"Nos entrega respuesta inmediata";"De acuerdo"
"Sirvio para saber en que casos no servia el codigo.";"Algo de acuerdo"
"Al enviar el taller decia de inmediato si era correcto o no";"De acuerdo"
"La herramienta de calificacion es efectiva, cuanto menos, y permite al usuario saber a cuanto esta de la meta sin mucha complicacion";"De acuerdo"
"Muestra la calificacion rapidamente en la mayoria de los casos, en ocasiones se caia la plataforma o se quedaba procesando el resultado";"De acuerdo"
"Porque uno puede ver su avance y saber cuanto saco";"Totalmente de acuerdo"
".";"De acuerdo"
"Por la presentacion inmediata de error o exito por parte UNcode";"Totalmente de acuerdo"
"Si, porque obedecia los parametros que se definian para el programa. Sin embargo, molestaba a veces por espacios en la impresion del programa que realmente a la hora de la verdad no hubieran afectado.";"De acuerdo"
"si sirvio";"De acuerdo"
"porque siempre aparecia la barra de 100% en verde cuando se solucionaba un ejercicio (obviamente la profe tenia que comprobar si la codificacion era la adecuada)";"Totalmente de acuerdo"
"lo califica en un corto tiempo y generalmente la respuesta es la esperada";"Totalmente de acuerdo"
"Manejo de porcentajes era distinto";"Algo de acuerdo"
"Funcionaba bastante bien y calificaba de forma rapida";"De acuerdo"
"porque asi se estaba seguro cuando llegaba al cien por ciento";"Totalmente de acuerdo"
"Daba una pequena orientacion el saber cuantos casos de prueba pasaba y el porcentaje de acierto";"De acuerdo"
"Ya que nos permitia comprobar errores en las salidas de nuestro codigo.";"De acuerdo"
"Por que el Uncode es muy determinista, tambien debe evaluarse lo aplicado en el codigo aunque no funcione del todo";"Algo de acuerdo"
"Por que cuando funciona , es justo";"Totalmente de acuerdo"
"Si porque siempre daba las calificaciones, contrario a esperar que el profesor o profesora los calificara";"De acuerdo"
"Por que el porcentaje adquirido me daba la nota de las actividades.";"Totalmente de acuerdo"
"Permite obtener una buena calificacion de manera automatica sin intervencion del docente siempre que los ejercicios esten planteados correctamente";"Totalmente de acuerdo"
"Si podia enviar el codigo y probarlo ahi";"Totalmente de acuerdo"
"Si bien en muchos casos la calificacion no era la esperada al momento de enviar un ejercicio, tener esta herramienta como calificador es muy util para poder encontrar un fallo de manera eficaz en los programas";"De acuerdo"
"Aunque hay problemas en algunos casos con las salidas mostradas por la prueba y el visualizador, es practico forma de calificacion automatica de la plataforma.";"De acuerdo"
"Principalmente por los problemas que tuve en un inicio con la plataforma, al ser inexperto en programacion cometia errores basicos no relacionados al algoritmo sino a la forma de leer y calificar codigo de Uncode";"Algo en desacuerdo"
"Debido a que en muchos programas, el enunciado y el codigo no van de la mano, la informacion respecto a las condiciones de ejecucion del codigo son ambiguas con con lagunas, lo que en muchos casos, aunque el codigo vaya a lugar, no lo hace la solucion del problema y se descarta frivolamente.";"Algo en desacuerdo"
"Permite observar si el programa realizado resuelve el problema planteado mediante casos de prueba";"De acuerdo"
"Ya que tiene casos de prueba varios con sus respuestas adecuadas dependiendo del autor del ejercicio";"De acuerdo"
"Porque, en varios ejercicios y talleres sobre todo al final del semestre, la plataforma se caia o se ponia lenta, por lo cual a veces no se podia visualizar los resultados o se demoraba mucho.";"Algo de acuerdo"
"Totalmente, ya que no habia que esperar a que el profe calificara sino ya se podia";"Totalmente de acuerdo"
"UNcode tiene la capacidad de evaluar cada programa ingresado con diferentes casos de prueba. Asi que, de esta manera, se puede obtener de manera rapida la calificacion de un programa.";"De acuerdo"
"Aunque es cierto que mostraba los casos de prueba, el tiempo era demasiado grande para su obtencion.";"Algo de acuerdo"
"Si fue util";"Algo de acuerdo"
"Puedo decir que en cuanto a este factor, fue util cabo por el hecho de que la salida de los codigos deben ser totalmente identicas a como se plantea en el ejercicio.";"De acuerdo"
"Dado que entregaba los resultados y el porcentaje de cumplimiento luego de unos segundos.";"De acuerdo"
"si, ya que ahi decian los porcentajes, en que casos de prueba se fallo y todo asi que si era muy util.";"Totalmente de acuerdo"
"No es completamente infalible y la salida puede tener validaciones erroneas bastante importantes";"De acuerdo"
"Porque permitio obtener las notas al instante, ademas de los errores si los tiene el codigo y demas.";"Totalmente de acuerdo"
"Podia realizar todo tipo de ejercicios y cerciorarme de que se ejecutaran correctamente.";"De acuerdo"
"Brinda respuestas claras y casos de prueba muy bien estructurados que ayudan a revisar la eficiencia del programa";"Totalmente de acuerdo"
"Para algunos problemas tiene muchas limitaciones, lo que impide el desarrollo libre del codigo y obligando al usuario a programar de manera lineal";"Algo de acuerdo"
"Aunque tuvo algunos fallos en donde no estuvo disponible el uso de UNCode fue una forma muy optima para obtener calificaciones";"De acuerdo"
"Calificaba bien, solo hubieron unos errores pequenos";"De acuerdo"
"En algunos casos hubo complicaciones con ciertos casos, en los que notabamos que quiza nuestro codigo estaba bien pero el UNCode lo leia mal. Pero en general fue una forma de calificacion bastante util.";"De acuerdo"
"igual, algunos conceptos basicos los maneja con facilidad pero cuando se prueban casos extremadamente granddes puede que tome demasiado tiempo  del que se querria, y en ciertas ocaciones los errores por espacios y tabs.";"Algo en desacuerdo"
"A pesar de que considero que la calificacion fue efectiva y UNCode da retroalimentacion util respecto a los errores, un problema personal ocurrio al inicio del curso ya que no sabia como utilizar UNCode de forma efectiva, lo que llevo a un mal desempeno al inicio del curso.";"Algo de acuerdo"
"Porque al ser una pagina era justo, sin embargo la pagina colapsaba varias veces";"De acuerdo"
"UNcode es una herramienta versatil y permite ingresar casos de extrema dificultad simulando una interaccion real, ademas, permite una calfificacion logica y objetiva.";"Totalmente de acuerdo"
"Siempre obtuve una calificacion acertada y oportuna";"Totalmente de acuerdo"
"Todo perfecto hasta llegar a los notebooks, al igual que uno sube el notebook, podria simplemente subirse el caso de prueba no?";"De acuerdo"
"(respecto a la forma de calificar, sencillamente UNcode no presenta errores)";"Totalmente de acuerdo"
"Una evaluacion concisa mas uno que otro problema menor";"De acuerdo"
"Un code siempre califico muy bien y como debia ser, ademas que mostraba la salida esperada y eso ayudo mucho";"Totalmente de acuerdo"
"calificaba bien.";"De acuerdo"
"Aunque a veces ocurrian errores sean por servidor o no, creo que realizaba satisfactoriamente la comprobacion de resultados";"De acuerdo"
"Porque segun los casos de entrada daba una retroalimentacion precisa de los casos correctos y los que no";"Totalmente de acuerdo"
"Tiene un buen metodo de calificacion y es bueno que permita mostrar una comparacion entre los errores del estudiante y la respuesta esperada. Tiene algunas pequenas fallas de vez en cuando pero no es mayor problema";"De acuerdo"
"UNCode devuelve la calificacion al momento, pero a veces se presentan problemas, en donde el codigo parece que esta bien y aun asi hay errores en la submission";"De acuerdo"
"Por que no tenia que esperar para que me calificaran sino que de una vez sabia en que me habia equivocado y cual era mi nota.";"Totalmente de acuerdo"
"Porque a partir de la calificacion automatica podia saber si tenia que relacionar asuntos de memoria o los casos especificos a que mi codigo no cubra todos los casos de entrada.";"Totalmente de acuerdo"
"El metodo de calificacion de UNCode es muy eficiente, aunque a veces el limite de tiempo en los problemas (TIME_LIMIT_EXCEEDED) me causaba inconvenientes con ciertos casos.";"Totalmente de acuerdo"
"La calificacion automatica es sumamente util y me ayudo a lo largo de todo el proceso. Me permitio realizar todo de la manera adecuada, saber como debe funcionar mi programa y mejorar mi forma de programar";"Totalmente de acuerdo"
"Muchas veces aunque el programa respondiera al ejercicio, si la respuesta no era exactamente igual a la esperada cuenta como invalida, sea la diferencia un espacio en blanco sobrante o un calculo distinto, y en ocasiones esto conduce a buscar obenter esas respuestas esperadas, en lugar de resolver un problema. Ademas, la evaluacion automatica de UNCode no da una retroalimentacion sobre el estado del codigo, es decir, si este es esta siendo escrito de la mejor manera o si, por el contrario, esta siendo escrito con malas practicas de programacion que el aprendiz dificilmente podra identificar por su cuenta y pueden que se conviertan en manas.";"Algo de acuerdo"
"UNCode funciono muy bien y fue muy util para obtener calificaciones en tiempo real";"Totalmente de acuerdo"
"Me parecio una buena forma de calificar los programas, sin embargo hubiera sido mas oportuno que antes de que los programas que se hagan sean lo  suficientemente complejos como para que la solucion de un estudiante arroje time limit, avisarle a los estudiantes que esto puede ocurrir, que significa y como se podria solucionar";"De acuerdo"
"La diversidad en los casos de prueba hizo que se abarcaran muchas posibilidades y asi verificar que el codigo estuviera (en su mayoria) correcto";"De acuerdo"
"Para calificar es muy eficiente, pues habian varios casos de prueba para determinar si estaba bien o no";"De acuerdo"
"Las calificaciones son inmediatas y apropiadas en el contexto de la programacion";"Totalmente de acuerdo"
"A pesar de lo mencionado arriba, funcionaba perfectamente el resto de veces, explicando los puntos en los que habia un error, cual era este y donde se encontraba.";"Totalmente de acuerdo"
"A pesar de que tardaba mas de un minuto calificando, no tengo problemas al respecto";"De acuerdo"
"La plataforma funciona correctamente y su uso permitio que los talleres y evaluaciones fueran calificados correctamente.";"Totalmente de acuerdo"
"decia el porcentaje de exito de nuestro codigo";"Totalmente de acuerdo"
"Con los diferentes casos de prueba le ayudan a uno a mejorar fallas y errores del codigo.";"Totalmente de acuerdo"
"Evaluo correctamente el funcionamiento del codigo, aunque deberia ser menos restringidas las respuestas ya que errores sin importancia en el codigo podian ser causantes de una mala nota";"De acuerdo"
