comment;ambiente;bondadesPlataforma;CbondadesPlataformaCcasosPrueba;CbondadesPlataformaCconocerErrores;CbondadesPlataformaCconsejosFormativos;CbondadesPlataformaCdisponibilidadLinea;CbondadesPlataformaCespacioTrabajo;CbondadesPlataformaCfacilidadUso;CbondadesPlataformaClenguajes;CbondadesPlataformaCPracticaconstante;CherramientasUNcodeCcustomInput;CherramientasUNcodeClinter;CherramientasUNcodeCpythonTutor;ClogrosPedagogicosCaprendizajeAutonomo;ClogrosPedagogicosCejerciciosEstimulantes;ClogrosPedagogicosCevalluacionEstimulante;ClogrosPedagogicosCEvaluacionOptimizada;ClogrosPedagogicosChabilidadesProgramacion;ClogrosPedagogicosCresolucionProblemas;CMejorableAprenderProgramarCfallasGenerales;CMejorableAprenderProgramarCinflexibilidad;CMejorableAprenderProgramarCobjetivoEducativo;CMejorableAprenderProgramarCretroalimentacionInsuficiente;CMejorableAprenderProgramarCsustituible;colab;HerramientasUNcode;logrosPedagogicos;MejorableAprenderProgramar
Debido a que los talleres eran mas sencillos de desarrollar al presentar herramientas para probar los codigos y visualizarlos paso a paso, por otro lado los casos para aprobar los codigos eran muy completos, y los detalles de la pagina con respecto a la informacion requerida para el taller era la adecuada. El unico incoveniente es que la pagina se cae constantemente.;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;1
Debido a que no hay necesidad de descargar otros programas adicionales, la herramienta es completa y tiene opciones utiles para ver lo que se esta desarrollando. Es de mucha utilidad para desarrollar la teoria vista en clase.;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
Debido a que se nos proponian bastantes situaciones, tenia la opcion de ir probando el codigo ademas de poder acceder a una vista mas detallada de lo que hace el codigo, con el plus de que con los casos de prueba podiamos saber si nuestro codigo cumplia con cabalidad su funcionalidad;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Debido a su corto campo de aceptacion de programas, evitando crear multiples opciones para solucionar un ejercicio.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Desde mi perspectiva, permite desarrollar habilidades que mejoran la comunicacion que tenemos con las maquinas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
ES UNA MANERA MUY ACERTADA DE DESARROLLAR TALLERES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
El '!visualizar codigo!' es una excelente herramienta para evidenciar como ejecuta el codigo programado.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
El Python Tutor implantado en la plataforma fue util para identificar como funcionaban los programas;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
El compilador de vez en cuando presenta fallos en su estructura los cuales hay que solventar de maneras poco convencionales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
El funcionamiento de la plataforma no es el mejor, entiendo que por la sobrecarga de estudiantes a veces la pagina falle pero no esperaba que fuera tan continuo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
El hecho de probar y visualizar el codigo en la plataforma permite una reflexion muy efectiva acerca de los errores que en algun momento cada persona pueda tener y aprender de ellos. Tambien los casos de prueba permiten tomar en cuenta cada situacion a la que se pueda exponer el codigo con el fin de que cumpla su funcion totalemente.;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
El hecho de tener test de verificacion permitia saber si uno iba por buen camino o no.;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
El juez es cruel pero justo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
El metodo de evaluar los programas por casos permite que uno desarrolle un enfoque integro en el momento de crear el bloque de codigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
El planteamiento de los ejercicios es claro y el debugger es una herramienta muy util para encontrar errores;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
El poder ver paso por paso la ejecucion del programa y el que tenga casos de prueba predefinidos me parece una buena forma de aprender a programar;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
El poder visualizar el funcionamiento del codigo sirve mucho;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
El sistema para verificar codigo ayuda;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
El test code es una herramienta muy util del UNCode, y permite visualizar la ejecucion de manera efectiva;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
En cierta medida ayuda a saber mi rendimiento en el tema y como mejorarlo;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
En esta plataforma habian ejercicios que hacian que pusiera en practica los conocimientos aprendidos en clase;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
En general me parece una herramienta que es util para evaluar ejercicios de programacion, al momento de aprendar no hace mucha diferencia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1
En ocasiones fallaba y durante medio semestre no permitia usar las herramientas ni observar los errores del codigo al comparar respuestas.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
En primer lugar, la plataforma permite testear el codigo antes de ser enviado para su evaluacion, lo que permite corregir los fallos. Esto sumado a la integracion de Python Tutor le brindan al estudiante herramientas suficientes para que comprenda el funcionamiento integro de su codigo, es decir, le permite al estudiante comprender que hace (o porque esta fallando), por lo que aprender a programar se facilita de sobremanera con respecto a otras plataformas.;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
En realidad cuando estudio o similares no programo en uncode, solo lo uso para enviar las tareas y si se programa en Colab, al copiar y pegar de Colab a Uncode se indenta mal y perdi un quiz por eso.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1
En segundo lugar, la plataforma califica con respecto al porcentaje de acierto respecto a los casos de prueba, por lo que si el estudiante alcanza un 90% de resultados satisfactorios, la plataforma lo tendra en consideracion, no como en otros entornos donde se requiere estrictamente del 100% de acierto para aprobarse, esto contribuye en la motivacion, el interes y el aprendizaje del estudiante.;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Entender una teoria es un poco complejo cuando no se ponen en practica los conceptos, mas aun cuando se trata de sintaxis y lenguajes de programacion, la herramienta permite practicar todo aquello que es visto en clase de manera en que surgen nuevas dudas que aportan al aprendizaje;0;1;0;0;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0
Era muy util para practicar todo los temas que iban viendo en la clase.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
Es bastante intuitivo para su uso y hace sencilla la programacion;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es eficiente a la hora de revisar los programas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es mucho mas comodo que usar un IDE ya que mi computador no es muy potente y se traba facilmente, cosa que pasa menos seguido en UNCODE;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es muy conveniente el poder recibir una calificacion casi inmediata, pues permite darse cuenta de errores que pudieron pasar desapercibidos;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Es muy lento al momento de hacer las entregas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1
Es muy util el hecho de que pruebe casos y que ayude a probar los programas con varios ejemplos que puedan mostrar fallos;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es poco indicativo respecto a los errores en los codigos del usuario;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1
Es positivo el hecho de tener una calificacion tan rigurosa de los ejercicios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es un buen mecanismo para practicar y comprender mejor de programacion, sin embargo no siento que su proposito sea garantizar el aprendizaje, porque no es una plataforma que explique errores o explique temas;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
Es un buen programa, lo unico es que es algo complicado de usarlo, puesto que las salidas de los codigos, deben seguir una estructura y orden especificos.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
Es una buena forma de calificar ya que da una respuesta rapida y permite facilidad al escribir y corregir codigo;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es una buena forma de calificar, aunque hay que ser demasiado especifico en los resultados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1
Es una buena herramienta para calificar los trabajos propuestos por los docentes, me parece organizada y funcional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es una buena idea pero no cumple completamente con su funcion ya que solo permite verificar si un programa cumple con algunos casos de prueba y no si este tiene logica o no.;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1
Es una gran herramienta que da un excelente feed back con las salidas y el python tutor.;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una gran herramienta que permite ver paso a paso el programa en ejecucion, ademas de dar sugerencias para mejorar las buenas practicas de programacion.;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una gran herramienta que te permite aprender de tus errores, lo cual te motiva a ser un mejor programador.;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
Es una herramienta bastante util donde nos muestra los casos de prueba y poder analizar donde tenemos los errores;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es una herramienta bastante util para reforzar los conocimientos y poner a prueba el estudiate ante ejercicios bastante especificos y con muchos casos de pruebas;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es una herramienta de facil entendimiento, y el hecho que permita ver paso por paso como funciona un programa hace que sea mas sencillo corregir errores.;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una herramienta dinamica para el aprendizaje que permite una pronta retroalimentacion y facilita la visualizacion de los ejercicios;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es una herramienta facil de usar, sencilla y util a la hora de practicar, interactiva tambien;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es una herramienta muy util en cuanto a que muestra el error que el programa cometia y especifica que tipo de error se esta cometiendo, la herramienta es muy visual, facilitando la comprension del problema y al dar las calificaciones inmediatamente, da una retroalimentacion mas efectiva.;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es una herramienta muy util para practicar los distintos lenguajes de programacion dado las pautas y retroalimentacion que el sistema provee;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es una herramienta que ayuda a practicar ejercicios y asi mismo reforzar los conocimientos;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
Es una herramienta que ensena a llegar a respuestas puntuales, buen funcionamiento para entender la ejecucion del codigo y permite un comodo tiempo para la resolucion de los ejercicios.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0
Es una herramienta que facilita la comprobacion de los ejercicios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0
Es una herramienta que nos permite identificar facilmente nuestros errores a medida que vamos aprendiendo y tambien nos permite identificar de forma clara el algoritmo de nuestros programas.;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
Es una herramienta que ofrece herramientas muy utiles a la hora de programar, permite ver los errores que cometio al estudiante ademas de ofrecer alternativas para solucionar los mismos. Ademas ofrece flexibilidad a los docentes para la evaluacion de estos ejercicios en lo personal pienso que es una muy buena herramienta que deberia seguirse utilizando.;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0
Es una herramienta que permite identificar los errores, y permite obtener un modo facil de calificar. Ademas tiene una plataforma esteticamente adaptada para el usuario.;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es una herramienta que permite la practica efectiva de los conceptos aprendidos en la clase. tambien funciona muy bien a la hora de comprender como funciona el codigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
Es una herramienta que permite revisar la sintaxis de los programas, y de pronto algun error que se cometa en el codigo.;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una herramienta que se adapta a las necesidades de los estudiantes. Nos permite dar un seguimiento a nuestro codigo de una manera mas sencilla con python tutor y los consejos de estilo de programacion son bastante utiles.;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una herramienta sencilla, util y facil de entender;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es una herramienta simple y util para programar, me ayudo en lo personal al permitir ver los casos que no estaban bien y en base a estos replantear mi codigo.;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Es una herramienta util, muy amigable con el usuario;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es una herramienta versatil, simple y potente;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es una interesante modalidad para la realizacion de las actividades y tareas, de las cuales son comprobadas por varios casos de prueba para identificar si el programa cumple con los requisitos.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Es una muy buena herramienta con grandes capacidades de interaccion entre los estudiantes, sin embargo la pagina en algunos casos colapsaba y en casos de necesidad retrasaba la realizacion de trabajos.;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Es una muy buena herramienta con la cual uno puede ver si el codigo de uno funciona y es una muy buena forma de evaluar el codigo que se hace;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
Es una muy buena herramienta sin embargo en ocasiones se cae y se pierden algunos trabajos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Es una muy buena herramienta, teniendo en cuenta que al encontrar un error lo muestra al usuario, tambien cuenta con la opcion de poder ver paso a paso como se esta ejecutando e codigo;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una plataforma facil de usar y muy fluida, ademas que la implementacion de Python tutor es de gran ayuda para entender como funciona el lenguaje y para comprender mejor el flujo de codigo y los problemas;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una plataforma muy facil de usar, con muchas herramientas que hacen facil el aprendizaje.;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Es una plataforma muy interactiva y facil de comprender;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Es una plataforma muy util que cuenta con varias herramientas que ayudan a entender el paso a paso que esta ejecutando nuestro programa;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Es una plataforma que corre bastante bien los programas vistos en clase, muy rara vez existen errores por parte de la plataforma, tambien a veces se congela la pagina sin razon alguna. Pero si hablamos del resto es una plataforma excelente. Resalto la herramienta que nos permite ver que sucede con el codigo linea por linea.;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
Es una plataforma que es muy util para calificar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Esta plataforma es sencilla de usar, permitiendo asi su facil manejo y entendimiento de la misma. Ademas, el contar con la herramienta visualize your code es de mucha ayuda ya que permite saber como se esta comportando el codigo que se esta escribiendo, y corregir mas facilmente los errores.;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0
Excelente  debido a que se trabaja online. Y creo que esto es fundamental debido a  que la comunidad universitaria la gran mayoria no cuenta con PC de ultima generacion;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Facilita el uso de una interfaz de manera rapida y accesible;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Facilita la calificacion de los ejercicios;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Facilitaba la presentacion de los talleres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Facilito el envio de talleres, ademas corrige los codigos de forma inmediata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
Falla Bastante;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
Falla a veces;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
