comment;CmejorableRetroalimentacionCfallasFuncionamiento;CmejorableRetroalimentacionCorientacionInsuficiente;condicionesIniciales;CresolucionProblemasCcomparacionConSalidasEsperadas;CresolucionProblemasCcorregirErrores;CresolucionProblemasCespecificacionesRetroalimentacion;mejorableRetroalimentacion;resolucionProblemas;senalarErrores;calificacion
Considero que esta es la mayor virtud de UNCode. Pero no estaria de mas que UNCode diera una mejor explicacion de los errores o sugerencias de como corregirlos, mientras el aprendiz se familiariza con ellos. La herramienta de verificacion de buenas practicas es un poco inutil, ya que, aunque hace recomendaciones, no explica por que esto es lo recomendable.;0;1;0;0;0;0;1;0;0;De acuerdo
Cuando funcionaba, era facil de entender que partes debia corregir;0;0;0;0;1;0;0;1;0;De acuerdo
Da una ayuda rapida y precisa;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Da una idea de que tan lejos o que tan cerca se esta de la solucion correcta, lo que hace que el estudiante se encuentre en la tarea de comprobar sus respuestas erroneas y corregirlas para entender el problema en su totalidad;0;0;0;0;0;1;0;1;0;De acuerdo
Daba a entender el error aunque a veces la pagina era muy estricta y daba errores innecesarios.;0;1;0;0;0;1;1;1;0;De acuerdo
Daba informacion la mayoria de veces clara y concisa la cual era perfectamente entendible para usuarios nuevos (aunque muy pocas veces fallaba la verdad);0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Daba la explicacion de los errores, aunque en muy pocos casos, en mi opinion no eran muy claros.;0;1;0;0;0;0;1;0;0;De acuerdo
De acuerdo porque solo mostraba mi error, mas no la linea exacta o algo asi.;0;1;0;0;0;0;1;0;1;De acuerdo
Decia especificamente cual era el error y donde estaba;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
El error no siempre era muy especifico;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
El programa  especifica donde se encuentran los errores;0;0;0;0;0;0;0;0;1;De acuerdo
El python tutor le hacia a uno la prueba de escritorio ahorrando tiempo en la deteccion del problema que se podia utilizar para solucionarlo.;0;0;0;0;1;1;0;1;1;Totalmente de acuerdo
En algunas ocasiones los errores obtenidos no eran retroalimentados correctamente. Es decir, el mensaje de error del compilador era ininteligible;0;1;0;0;0;0;1;0;0;En desacuerdo
En algunas ocasiones no queda muy claro en donde esta el error;0;1;0;0;0;0;1;0;0;Algo de acuerdo
En algunos casos es dificil saber donde estan los errores;0;1;0;0;0;0;1;0;0;Algo de acuerdo
En algunos ejercicios no se sabe por que no completa el requerimiento del ejercicio y pueden ser detalles muy sencillos;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
En casos si fue util, pero en otros cuando no se entendia muy bien el ejercicio, tener las salidas no era muy util;0;0;1;0;0;0;0;0;0;NO CALIFICADO
En la mayoria de casos mostraba exactamente donde estaba el error;0;0;0;0;0;0;0;0;1;De acuerdo
En la mayoria de casos podia conocer mi error, aunque algunas veces no lo permitio;1;0;0;0;0;0;1;0;1;De acuerdo
En lo que respecta a la revision del codigo, el sistema de correcion de errores es muy util para identificar faltas en la sintaxis que son recurrentes al empezar a programar;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
En los casos que daban time limit, me sucedio varias veces que crei que lo que demoraba estaba en cierta parte y pasaba mucho tiempo intentando corregirlo, tiempo despues me daba cuenta que estaba en otro lado el problema;0;1;0;0;0;0;1;0;0;De acuerdo
En mi opinion, creo que la plataforma en si es suficiente porque nosotros somos los que debemos analizar de una mejor manera el algoritmo para que cumpla funcionalmente. Sin embargo en algunos ejercicios podemos ver los errores en los casos de prueba y esto es muy util para reevaluar la logica que tenemos al escribir el codigo. Por otra parte la herramienta para escribir de una mejor manera el codigo me parece excelente.;0;1;0;0;0;1;1;1;1;Algo en desacuerdo
En muchos casos era realmente util, sin embargo puede ser un poco mas especifica identificando el error de escritura en una cadena de texto o ser mas especifico en el error para no buscar sin sentido;0;1;0;0;0;0;1;0;0;Algo de acuerdo
En muy pocas ocasiones UNcode presentaba los posibles errores, mientras en la gran mayoria los errores por falta de un espacio o algo por el estilo debia descubrirlo por mi cuenta.;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
En ocasiones aparecia un error e indicaba en donde se encuentra ese error, o algunas salidas faltaban, y con la herramienta de visualizar codigo se entendia el funcionamiento general del codigo y se le podia realizar un seguimiento;0;0;0;0;0;1;0;1;1;NO CALIFICADO
En ocasiones no se veian errores evidentes;0;1;0;0;0;0;1;0;0;Algo de acuerdo
En si UNCode no daba las retroalimentaciones. Uno mismo debia pensar en los posibles errores.;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Entrega un porcentaje de error y las entradas que fallaron asi que se puede corregir;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Era dificil de entender donde estaba el error y no daba descripcion detallada;0;1;0;0;0;0;1;0;0;En desacuerdo
Era muy dificil tratar de comprender bien lo que se pedia;0;0;1;0;0;0;0;0;0;Algo en desacuerdo
Era muy util que me mostrara en que casos mi programa no funcionaba, sin embargo muchas veces el error no era claro, como por ejemplo, en los casos de imprimir tablas, muchas veces mi programa imprimia espacios adicionales y era dificil encontrar el error.;0;1;0;0;0;0;1;0;1;Algo de acuerdo
Eran bastante claras las instrucciones.;0;0;1;0;0;0;0;0;0;Totalmente de acuerdo
Es complicado entender la razon por la cual un codigo esta mal, no es muy clara la retroalimentacion del programa referente a los codigos.;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Es de gran ayuda poder reconocer los errores que presenta mi codigo al comparar las salidas esperadas y las que produce mi codigo.;0;0;0;1;0;0;0;1;1;De acuerdo
Es dificil saber que es lo que esta mal exactamente, encontrar el posible error puede tomar tiempo, ademas cuando se realizan los tests solo muestra que es lo que dos o tres de estos realmente hacen, por lo que uno no puede saber en que fallo el codigo.;0;1;0;0;0;0;1;0;0;En desacuerdo
Es intuitiva, didactica y muy sencilla de comprender y usar;0;0;0;0;0;0;0;1;0;Totalmente de acuerdo
Es la primera pista que como usuario obtenemos, para poder resolver correctamente el ejercicio;0;1;0;0;0;0;1;1;0;De acuerdo
Es muy intuitiva entonces era facil saber las cosas que hacian falta  que habia que agregar.;0;0;0;0;1;0;0;1;0;Totalmente de acuerdo
Es una herramienta sublime, y siempre atinaba, lastima que en runtime error no indicara muy claramente en que ciclo se quedaba infinitamente.;0;1;0;0;0;0;1;0;0;Totalmente de acuerdo
Es util aunque en muchos casos dificil de entender;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Es util para indagar cuales son los errores y de ahi como solucionarnos;0;0;0;0;1;0;0;1;1;Algo de acuerdo
Es verdad, que el codigo tiene que ser completamente exacto y eso lleva a fallos no tan graves como una mayuscula o una coma, pero aun asi justificaba de manera adecuada y hasta con ilustraciones los fallos para poder corregirlos;0;1;0;0;0;1;1;1;0;Totalmente de acuerdo
Esta funcion de UNcode permitia ver la linea exacta en que el codigo no funciona tal como se espera, y uno puede rectificar el error, y volver a probar;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Estoy algo en desacuerdo ya que a pesar de que en algunas ocasiones mostraba cual linea fallaba, la plataforma no muestra cual podria ser la estructura correcta para que funcione;0;1;0;0;0;0;1;0;1;Algo en desacuerdo
Evidenciaba problemas en diferentes impresiones lo que permitia obtener respuestas funcionales e identificacion inmediata;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Explica lo que esta mal aunque no entra en detalles.;0;1;0;0;0;0;1;0;0;De acuerdo
Explicaba bien como utilizar las diferentes herramientas de UNCode y diferentes tips sobre el uso de la misma.;0;0;1;0;0;0;0;0;0;De acuerdo
Explicaba exactamente cual era el error en el codigo ademas de permitir ver el momento exacto del error;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
Fue muy util, porque mostraba la parte que teniamos mala y esto nos daba una idea de que debiamos corregir.;0;0;0;0;1;0;0;1;1;De acuerdo
Generalmente uno no contempla a primeras los casos limite, Uncode en ese aspecto fue de gran ayuda.;0;0;0;0;0;1;0;1;0;De acuerdo
Gracias a que se pueden revisar las pruebas que esta plataforma realiza;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Gracias al  Test mode  visualizar la accion paso por paso del codigo fue una muy util herramienta para fijarme en como funciona la logica del algoritmo. Ademas de subrayar y anotar errores de sintaxis.;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Hacia pensar en los casos no tomados en cuenta en el programa.;0;0;0;0;0;0;0;1;0;Totalmente de acuerdo
Hay errores que no dan retroalimentacion, por ejemplo,uno que afirman un error al final pero no indican ni linea ni tipo;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Hay situaciones en las que no se entiende el error;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Identifica los errores de forma asertiva.;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Imprimir los datos que imprimia mi codigo versus los que eran los esperados, ayudaba pero a veces era confuso saber que estaba mal.;0;1;0;1;0;0;1;1;0;Algo de acuerdo
Incluso si el input es muy largo y no se puede visualizar en la pantalla, es posible descargarlo y probarlo.;0;0;0;1;0;0;0;1;0;NO CALIFICADO
La comparacion del resultado esperado y el brindad era de mucha utilidad;0;0;0;1;0;0;0;1;0;De acuerdo
La diferenciacion de respuestas permite detectar errores propios y corregirlos apropiadamente;0;0;0;0;1;0;0;1;1;De acuerdo
La forma que tiene UNcode de comparar las respuestas cuando hay algo mal, sirve para caer en cuenta del error y rectificar el codigo, sin embargo, cuando el numero de respuestas es muy alto, UNcode (a veces) no muestra la comparacion, por lo que es un poco mas dificil de conocer el error.;1;0;0;1;1;0;1;1;1;De acuerdo
La herramienta que tiene para corregir errores es util, pero podria ser mas optima oeficiente.;0;0;0;0;1;0;0;1;0;De acuerdo
La interfaz podria ser un poco mas clara y grafica;0;0;0;0;0;0;1;0;0;Algo de acuerdo
La mayoria de veces es dificil identificar el error;0;1;0;0;0;0;1;0;0;Totalmente en desacuerdo
La mayoria de veces este cumplia su funcion, pero en algunos casos la misma plataforma se contradecia entre el 'tester' y los casos de ejemplo o incluso el resultado era distinto al ejecutar el codigo en un sitio distinto a uncode;0;1;0;0;0;0;1;0;0;Algo de acuerdo
La mayoria de veces, mostraba el tipo de error que se estaba cometiendo y facilitaba la tarea al momento de realizar las lineas de codigo escritas;0;0;0;0;1;0;0;1;1;De acuerdo
La mayoria de veces, ya que hay test que no deja ver, y a veces son los unicos que arrojan el error.;1;1;0;0;0;0;1;0;0;De acuerdo
La opcion de revisar cuando no funciona el codigo ayuda a encontrar los fallos mas facilmente y la de revisar como funciona el codigo paso a paso ayuda a entender un monton de cosas;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
La opcion de ver el paso a paso y ver los ejemplos;0;0;0;0;0;1;0;1;0;De acuerdo
La parte del debuging se hace muy compleja en Uncode ya que los errores aunque son especificos. Muchas veces no da informacion importante para corregir;0;1;0;0;0;0;1;0;0;Totalmente en desacuerdo
La plataforma daba los errores que tenia el codigo puesto;0;0;0;0;0;0;0;0;1;De acuerdo
La plataforma muestra el output que deberia salir, pero no muestra cual es el posible error;0;1;0;1;0;0;1;1;0;En desacuerdo
La plataforma ofrecia la comparacion entre la respuesta correcta y la respuesta que daba el programa escrito, sin embargo, esto en algunas ocasiones no era util para determinar cual fue el error del programa.;0;1;0;1;0;0;1;1;0;De acuerdo
La presencia del tutor, donde se puede ver la ejecucion paso a paso de los programas, permitiendonos analizarlos y comprender mejor como funcionan y que esta mal.;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
La realimentacion automatica algunas veces no mostraba  los errores. Ademas, en algunos casos era un poco tediosa, puesto que mostraba todo en vertical y era dificil encontrar en que estaba fallando. Sin embargo fue una herramienta muy util que permitia usar el tiempo en mejorar el codigo en vez de usarlo en buscar errores;1;1;0;0;1;1;1;1;1;NO CALIFICADO
La respuesta es precisa y ayuda a saber en donde tener que revisar el error;0;0;0;0;1;0;0;1;1;De acuerdo
La retroalimentacion automatica cuando permite ver que casos tienen errores funciona perfecto para entender mejor las limitaciones del programa, incluso cuando no se muestran estos casos es posible entender si el programa no funciona, si funciona a medias o si existen casos que no considere pero que estarian generando errores.;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
La retroalimentacion automatica ofrecida es basica y muchas veces no permite identificar facilmente el error que uno esta cometiendo;0;1;0;0;0;0;1;0;0;Algo de acuerdo
La verdad me ayudo a corregir muchos errores de sintaxis;0;0;0;0;1;0;0;1;0;De acuerdo
Las comparaciones que hace UNcode me facilita encontrar el problema y corregirlo;0;0;0;1;0;0;0;1;0;De acuerdo
Las herramientas de Test code y Visualize your code son muy utiles frente a revisar nuestros codigos permitiendo ver un paso a paso del codigo.;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Los casos de calificacion siempre son utiles, y la comparacion de respuestas tambien, pero a veces se presentan casos muy largos que a veces puede significar llevar a hacer mucha prueba y error para el estudiante;0;0;1;1;0;0;0;1;0;De acuerdo
Los errores indicaban la linea y el tipo de error;0;0;0;0;0;1;0;1;1;De acuerdo
Los mensajes que se mostraban cuando salia un error en el codigo eran facil de buscar en Internet y habian cientos de respuestas explicando el error;0;0;0;0;0;1;0;1;0;De acuerdo
Los nombres de los errores son demasiado genericos. lo que hace que en ocasiones sea dificil saber por que se produce el error.;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Me ayudo a analizar correctamente el punto exacto donde se me producian errores en mi codigo;0;0;0;0;0;0;0;0;1;De acuerdo
Me ayudo mas de una vez a saber por donde iba y que debia cambiar, aunque no siempre;0;0;0;0;1;0;0;1;0;De acuerdo
Me daba el/los caso(s) concretos para saber que le faltaba a mi codigo para que funcionara correctamente, no era cosa de adivinar si no tratar el problema especifico;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Me decia exactamente donde tenia los fallos y cual era;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Me indica en donde me he equivocado y me parece muy util;0;0;0;0;0;0;0;0;1;De acuerdo
Me parecio muy bueno el que la plataforma compare las salidas, ya que nos permite corregir errores de una manera agil.;0;0;0;1;1;0;0;1;0;Totalmente de acuerdo
Me permitia saber que tipo de error estaba cometiendo, y en base a eso buscar una mejor solucion.;0;0;0;0;1;1;0;1;0;De acuerdo
Mostraba de manera clara las falencias del codigo y permitia, al ver los casos de prueba donde se fallaba y su respuesta , corregirlos de manera oportuna;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Mostraba el error y la linea del mismo;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Mostraba especificamente para que pruebas el codigo arrojaba error.;0;0;0;0;0;0;0;0;1;De acuerdo
Mostraba exactamente el lugar en el cual se encontraba el problema.;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Mostraba los errores claramente y mostraba lo que se esperaba y ademas ofrecia la herramienta de python tutor para mirar paso a paso .;0;0;0;1;0;1;0;1;1;De acuerdo
Mostraba los errores de salida existentes en el codigo ademas de que usa el sistema de python tutor para ver en que punto falla la ejecucion;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Muchas veces los codigos de error son poco claros o directamente aparece un runtime en vez de marcar la linea del error. Siendo que a veces no eran programas con ciclos.;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Muchas veces los errores no se identifican tan facil solo viendo la salida esperada y la salida del programa, hay errores como  Time limit exeeded  o  Runtime error  que no muestran lo que se pudo imprimir antes del error. El problema real llega cuando hay un  Runtime error  y se usan ciclos o recursion, puesto que muestra la linea en donde se encuentra el error, pero no el caso, haciendo mas largo el proceso de correccion;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Muchas veces no era muy claro cual era realmente el error;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Muchas veces no me deja ver un ejemplo de en que estoy fallando lo que dificulta encontrar el error;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
Muchas veces no pasaba eso, ya que lanzaba el error pero uno de pronto no sabia como hacerlo mas eficiente.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Muchas veces no se retroalimentan los errores en los codigos, y en algunos casos solo por espacios da todo el punto incorrecto;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Muchos de los algoritmos que disene se pudieron realizar gracias a la realimentacion de UNcode;0;0;0;0;0;0;0;1;0;De acuerdo
Muestra especificamente los errores tanto como los ejercicios aceptados;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
No entrega una descripcion clara del problema, es mas util corregir los errores por Colab;0;1;0;0;0;0;1;0;0;Totalmente en desacuerdo
No es muy entendible para alguien que apenas esta aprendiendo a porgramar por primera vez;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
No especifica directamente el error, haciendo dificil saber concretamente la parte que esta mal a menos que sea un error realmente notable (si el error es, por ejemplo, un espacio de mas al final de una linea, puede ser muy dificil de encontrar);0;1;0;0;0;0;1;0;0;De acuerdo
No me sirvio como guia ya que  era enredado para mi, ver las sugerencias;0;1;0;0;0;0;1;0;0;Algo en desacuerdo
No muy clara en ciertas ocasiones, muy ambigua.;0;1;0;0;0;0;1;0;0;Algo de acuerdo
No todas las actividades tenian retroalimentacion;0;1;0;0;0;0;1;0;0;Algo de acuerdo
Nos ayudaba mediante los ejemplos de correccion a ver la parte que teniamos mal en el codigo;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Nos muestra en porcentaje de casos aprobados y en muchos casos nos permite ver los casos de prueba para identificar en que estamos fallando.;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Nos proporcionaba las salidas correctas y las que no correspondian o estaban mal;0;0;0;0;0;0;0;0;1;Algo de acuerdo
Nunca me sirvio ninguna de las recomendaciones que me otorgaba la plataforma, sobre todo en casos en los que el codigo corria a la perfeccion en otras plataformas y en UNCode fallaba;0;1;0;0;0;0;1;0;0;En desacuerdo
Ofrece buenas alternativas para poder observar la ejecucion de codigo paso a paso, asi como los casos de prueba en donde fallo el codigo lo cual facilita la busqueda del error;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Para algunos problemas UNCode no entregaba el expected output vs el output generado por nosotros los estudiantes, en esos caso no era facil saber en donde fallaba el codigo;1;0;0;1;0;0;1;1;1;Algo de acuerdo
Permite conocer los aspecto a modificar de buena forma;0;0;0;0;1;0;0;1;0;De acuerdo
Permite corregir las areas del codigo con errores, siguiendo el proceso de las variables;0;0;0;0;1;0;0;1;0;Totalmente de acuerdo
Permite ver con exactitud donde estan los errores y los hace mas faciles de corregir;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Permitia identificar la seccion especifica del programa para corregir;0;0;0;0;0;0;0;0;1;NO CALIFICADO
Pienso que tal vez deberia ser un poco mas explicito y especifico a la hora de encontrar un error, de igual forma adjuntar un par mas de ejemplos, no obstante, asi como esta se entiende perfectamente el tipo de error y una vaga idea de como resolverlo.;0;1;0;0;0;0;1;0;0;De acuerdo
Poder ver errores en los programas enviados facilita la identificacion de problemas y la solucion de las mismas;0;0;0;0;1;0;0;1;1;NO CALIFICADO
Poder visualizar el momento en que el codigo fallo permite editar los codigos con mayor facilidad y seguridad. Siendo un principiante en el tema de la programacion esto fue de gran ayuda.;0;0;0;0;1;1;0;1;0;Totalmente de acuerdo
Podia encontrar los errores rapidamente y solucionarlos.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Por que te compara la salida esperada con la que tu das y eso lo hace mas facil;0;0;0;1;0;0;0;1;0;Totalmente de acuerdo
Porque UnCode me permitia ver las salidas que debia tener el programa y basandome en estas salidas podia corregir los errores que haya cometido en el programa;0;0;0;1;1;0;0;1;0;De acuerdo
Porque Uncode ofrece herramientas utiles para reconocer los errores;0;0;0;0;0;0;0;0;1;De acuerdo
Porque a partir de las entradas que Uncode da al programa y las respuestas que espera que salgan, permite intuir facilmente los problemas que tiene el codigo;0;0;0;1;0;0;0;1;0;Totalmente de acuerdo
Porque al esta plataforma permitir mostrar el desarrollo del programa linea por linea,  promueve a que el estudiante analice cada linea de codigo para adaptarla a los resultados que se le exigen;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Porque de esta forma podia ver las fallas que experimentaba mi programa en ciertos casos, permitiendo que buscara nuevas opciones para este y asi llegar a soluciones mas optimas.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque el poder ver el paso a paso y ver como cambian las variables, ayuda a ver en que parte el codigo no hace lo que uno espera;0;0;0;0;0;1;0;1;0;Totalmente de acuerdo
Porque especificaba la respuesta correcta y las similitudes con la respuesta que nuestro codigo daba.;0;0;0;1;0;0;0;1;0;Totalmente de acuerdo
Porque informaba que tipo de error habia en el codigo y en que linea, ademas, informaba sobre errores logicos como bucles infinitos;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
Porque la pagina estaba habilitada para mostrar donde estaba mal, facilitando la revision y posterior correccion. Por otra parte decir que solo esta mal sin la razon, puede que no sea de mucha utilidad en el aprendizaje.;0;1;0;0;1;0;1;1;1;Totalmente de acuerdo
Porque me era muy util saber que era lo que estaba exactamente mal en los casos para poder corregir errores.;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque me permitia comparar lo que hacia mi programa y lo que se buscaba;0;0;0;1;0;0;0;1;0;De acuerdo
Porque muchas veces no se tenia la certeza total de que estaba mal, al ver lo que se esperaba uno podia realizar una evaluacion y realizar una correcta correccion.;0;0;0;1;1;0;0;1;0;De acuerdo
Porque muestra en donde esta el error para que uno lo pueda corregir;0;0;0;0;1;0;0;1;1;De acuerdo
Porque muestra los errores explicitos.;0;0;0;0;0;0;0;0;1;De acuerdo
Porque no es preciso con los errores, dice donde es, pero no es efectivo con el tipo de error;0;1;0;0;0;0;1;0;0;En desacuerdo
Porque permite la visualizacion automatica de los errores en el codigo, y hace que la evaluacion de casos a resolver sea mas facil;0;0;0;0;0;0;0;0;1;Totalmente de acuerdo
Porque permite ver que resultados de los casos de prueba  no coinciden con la salida del programa, y se puede hacer un seguimiento a esos casos para ver en que momento del proceso la variable empieza a alejarse de la respuesta esperada;0;0;0;1;0;1;0;1;0;Totalmente de acuerdo
Porque permitia analizar las diferencias entre las respuestas obtenidas y las esperadas, ya fuesen de formato, de redondeo, por ciertas mayusculas o por errores en la ejecucion, los que se podian inferir con mayor facilidad.;0;0;0;1;0;1;0;1;0;Totalmente de acuerdo
Porque permitia ver que salidas daba el programa frente a ciertas entradas en las cuales habia un error, lo cual, con un poco de intuicion y conocimiento del codigo se podia arreglar para que el mismo quedara sin errores algunos.;0;0;0;1;1;0;0;1;0;Totalmente de acuerdo
Porque puedo identificar en que casos mi programa falla para asi buscar la manera de corregir las fallas;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque se podia observar cuales eran los errores comparado con los casos de prueba y ademas de los errores de logica y de sintaxis;0;0;0;1;0;0;0;1;1;Totalmente de acuerdo
Porque se tiene la opcion de ver como se desarrolla el codigo y corregir los errores;0;0;0;0;1;0;0;1;1;Totalmente de acuerdo
Porque si estaba mal nos daba pistas de lo que estaba mal y podiamos arreglar;0;0;0;0;1;1;0;1;0;De acuerdo
Porque te decia aveces los errores no quedaban claro en donde estaban;0;1;0;0;0;0;1;0;1;Algo de acuerdo
Presentaba paso a paso lo que el codigo estaba ejecutando y eso me permitia a mi encontrar mas rapidamente el error en determinada parte del codigo;0;0;0;0;0;1;0;1;1;Totalmente de acuerdo
